Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,236.589996,236.800003,231.880005,235.240005,228.778763,25227500
2021-03-30,233.529999,233.850006,231.100006,231.850006,225.481873,24792000
2021-03-31,232.910004,239.100006,232.389999,235.770004,229.294189,43623500
2021-04-01,238.470001,242.839996,238.050003,242.350006,235.693481,30338000
2021-04-05,242.759995,249.960007,242.699997,249.070007,242.228928,36910600
2021-04-06,247.610001,249.399994,246.880005,247.860001,241.052139,22931900
2021-04-07,247.809998,250.929993,247.190002,249.899994,243.036087,22719800
2021-04-08,252.770004,254.139999,252.000000,253.250000,246.294113,23625200
2021-04-09,252.869995,255.990005,252.440002,255.850006,248.822693,24326800
2021-04-12,254.710007,257.670013,254.619995,255.910004,248.881027,27148700
2021-04-13,257.260010,259.190002,256.829987,258.489990,251.390121,23837500
2021-04-14,257.480011,258.829987,255.160004,255.589996,248.569794,23070900
2021-04-15,257.929993,259.929993,257.730011,259.500000,252.372406,25627500
2021-04-16,259.470001,261.000000,257.600006,260.739990,253.578308,24878600
2021-04-19,260.190002,261.480011,257.820007,258.739990,251.633301,23209300
2021-04-20,257.820007,260.200012,256.839996,258.260010,251.166504,19722900
2021-04-21,258.940002,260.679993,257.250000,260.579987,253.422714,24030400
2021-04-22,260.209991,261.779999,255.639999,257.170013,250.106445,25606200
2021-04-23,257.880005,261.510010,257.269989,261.149994,253.977127,21462600
2021-04-26,261.660004,262.440002,260.170013,261.549988,254.366165,19763300
2021-04-27,261.579987,263.190002,260.119995,261.970001,254.774628,31014200
2021-04-28,256.079987,256.540009,252.949997,254.559998,247.568115,46903100
2021-04-29,255.460007,256.100006,249.000000,252.509995,245.574402,40589000
2021-04-30,249.740005,253.080002,249.600006,252.179993,245.253464,30945100
2021-05-03,253.399994,254.350006,251.119995,251.860001,244.942261,19626600
2021-05-04,250.970001,251.210007,245.759995,247.789993,240.984055,32756100
2021-05-05,249.059998,249.500000,245.820007,246.470001,239.700317,21901300
2021-05-06,246.449997,249.860001,244.690002,249.729996,242.870743,26491100
2021-05-07,252.149994,254.300003,251.169998,252.460007,245.525803,27032900
2021-05-10,250.869995,251.729996,247.119995,247.179993,240.390823,29299900
2021-05-11,244.550003,246.600006,242.570007,246.229996,239.466904,33641600
2021-05-12,242.169998,244.380005,238.070007,239.000000,232.435501,36684400
2021-05-13,241.800003,245.600006,241.419998,243.029999,236.354782,29624300
